Player,Pos,Age,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,cpm%,PrgP,PrgC,TOatt,TOsucc
Chanelle Tchaptchet,FW,24-331,60,0,0,1,0,0,0,17,1,0,3,0,0,6,8,75.0,0,1,1,1
Chancelle Effa Effa,"FW,LW",17-001,30,0,0,1,0,0,0,11,0,0,0,2,0,7,9,77.8,1,3,1,1
Zoé Stiévenart,LW,21-215,74,0,0,0,0,0,0,20,1,0,2,0,0,8,12,66.7,0,0,1,1
Mickaélla Cardia,"RM,LW",23-183,16,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0.0,0,0,0,0
Nadjma Ali Nadjim,RW,28-361,90,0,0,1,0,0,0,19,0,2,0,3,0,12,13,92.3,3,0,1,0
Christy Gavory,LM,25-133,74,0,0,0,0,0,0,27,2,1,0,0,0,12,23,52.2,2,0,0,0
Deja Davis,"CB,LM",28-085,16,0,0,0,0,0,0,9,0,1,0,0,0,4,7,57.1,0,0,0,0
Laurie Cance,CM,28-127,90,0,0,0,0,0,0,35,0,0,2,1,0,22,30,73.3,3,2,2,1
Eva Sumo,RM,29-282,66,0,0,1,0,1,0,23,1,2,1,0,0,8,15,53.3,1,0,0,0
Roselord Borgella,"RM,FW",30-167,24,0,0,1,0,0,0,9,0,0,0,0,0,5,6,83.3,0,0,2,0
Silke Demeyere,LB,31-087,90,0,0,0,0,0,0,39,6,2,0,2,0,16,24,66.7,0,0,1,1
Lou Tsé,"CB,LM",20-282,90,0,0,0,0,0,0,50,4,6,3,0,0,27,32,84.4,0,0,1,1
Héloïse Mansuy,CB,26-214,90,0,0,0,0,0,0,42,4,0,1,0,0,26,36,72.2,2,0,0,0
Eva Kouache,RB,23-251,90,0,0,0,0,0,0,49,5,2,2,0,0,18,33,54.5,1,0,1,0
Laëtitia Philippe,GK,32-138,90,0,0,0,0,0,0,46,1,0,0,0,0,23,41,56.1,0,0,0,0
Eugénie Le Sommer,FW,32-138,990,0,0,5,0,1,0,401,25,17,15,8,0,194,290,66.9,13,6,11,6
Liana Joseph,FW,34-120,90,1,1,5,3,0,0,42,2,0,0,5,2,25,30,83.3,4,2,3,1
Vicki Bècho,"LW,RW",17-031,74,0,0,0,0,0,0,7,0,0,0,0,0,4,5,80.0,1,1,1,1
Kadidiatou Diani,RW,19-347,16,0,0,2,0,0,0,41,1,0,2,0,0,22,26,84.6,1,0,7,0
Amel Majri,"LW,RW",28-167,90,0,0,4,1,0,0,41,0,0,1,5,0,13,23,56.5,4,6,5,2
Lindsey Horan,LM,30-233,57,0,0,0,0,0,0,23,0,0,0,4,1,15,20,75.0,1,1,3,2
Daniëlle van de Donk,CM,29-112,33,0,0,3,2,0,0,69,1,1,0,6,0,51,61,83.6,6,1,1,1
Damaris Egurrola,RM,32-041,90,1,0,3,2,0,0,71,1,1,1,6,0,48,59,81.4,15,0,1,0
Dzsenifer Marozsán,RM,24-020,90,0,0,2,0,0,0,37,0,1,1,2,0,26,28,92.9,5,0,2,0
Selma Bacha,"LB,CB",31-150,57,0,0,1,0,0,0,29,1,0,0,4,0,24,26,92.3,5,2,1,1
Perle Morroni,"LB,CB",22-310,33,0,0,0,0,0,0,65,1,1,0,9,0,44,62,71.0,1,4,4,4
Wendie Renard,CB,25-335,63,0,0,1,0,0,0,34,0,2,0,0,0,25,30,83.3,2,0,0,0
Vanessa Gilles,"CB,RB",33-057,27,1,1,3,1,0,0,92,0,1,0,3,2,81,88,92.0,15,1,0,0
Ellie Carpenter,RB,27-188,90,1,0,5,3,0,0,84,1,1,0,2,1,69,76,90.8,9,0,0,0
Griedge Mbock Bathy,"RB,LB",23-140,90,0,0,0,0,0,0,58,0,1,0,3,0,47,54,87.0,10,0,0,0
Christiane Endler,GK,28-201,58,0,0,1,0,0,0,25,0,0,0,1,0,19,21,90.5,2,0,0,0
Tabitha Chawinga,FW,27-132,90,0,0,2,1,1,0,26,0,0,0,2,0,14,20,70.0,1,4,3,2
Sandy Baltimore,FW,23-224,90,0,0,2,2,0,0,56,3,0,0,3,0,30,45,66.7,4,3,4,2
Jackie Groenen,CM,28-288,75,0,0,1,0,0,0,40,2,1,1,1,0,29,33,87.9,1,1,1,1
Ramona Bachmann,CM,32-280,15,0,0,0,0,0,0,7,1,1,2,0,0,2,4,50.0,2,0,0,0
Oriane Jean-François,CM,22-048,63,0,0,0,0,0,0,38,1,0,1,0,0,25,28,89.3,3,0,1,1
Korbin Albert,CM,19-353,27,0,0,0,0,0,0,13,1,1,0,0,0,7,8,87.5,1,0,0,0
Grace Geyoro,CM,26-091,90,0,0,3,3,0,0,31,0,0,0,4,0,20,21,95.2,5,3,3,2
Sakina Karchaoui,WB,27-248,90,0,0,1,0,0,0,73,0,2,3,6,0,39,62,62.9,8,6,2,0
Amalie Vangsgaard,WB,26-306,75,0,0,0,0,0,0,39,3,0,0,1,0,25,34,73.5,3,0,0,0
Marie-Antoinette Katoto,WB,24-334,15,0,0,0,0,0,0,5,0,0,0,0,0,2,2,100.0,1,0,0,0
Jade Le Guilly,CB,21-105,90,0,0,0,0,0,0,60,1,1,1,0,0,30,43,69.8,2,0,1,0
Élisa De Almeida,CB,25-263,90,0,0,1,0,0,0,65,1,0,0,0,0,46,58,79.3,3,0,1,0
